  76,   126667,     15,     47,     35,      3,   -133,  -1241,   1065, 0, 0, 0, 0
  77,   128333,      2,     15,     16,      4,  -1014,   -656,   -391, 0, 0, 0, 0
  78,   130000,     -7,    -14,      0,      4,  -1604,    109,  -1730, 0, 0, 0, 1
  79,   131667,    -17,    -44,    -21,      3,  -1804,    854,  -2656, 0, 0, 0, 1
  80,   133333,    -21,    -61,    -37,      2,  -1491,   1330,  -2802, 0, 0, 0, 1
  81,   135000,    -16,    -61,    -40,      2,   -874,   1519,  -2357, 0, 0, 0, 1
  82,   136667,     -8,    -43,    -31,      3,     43,   1270,  -1181, 0, 0, 0, 1
  83,   138333,      4,    -16,    -12,      4,   1043,    842,    251, 0, 0, 0, 1
  84,   140000,     12,     13,      5,      3,   1601,     -2,   1635, 0, 0, 0, 1
  85,   141667,     20,     42,     28,      5,   1840,   -760,   2611, 0, 0, 0, 1
  86,   143333,     23,     63,     45,      4,   1506,  -1324,   2811, 0, 0, 0, 1
  87,   145000,     22,     66,     49,      4,    877,  -1573,   2416, 0, 0, 0, 1
  88,   146667,     14,     54,     43,      4,    -43,  -1407,   1316, 0, 0, 0, 1
  89,   148333,      7,     28,     25,      3,  -1020,   -934,   -114, 0, 0, 0, 1
  90,   150000,      0,      1,      4,      3,  -1640,   -172,  -1487, 0, 0, 0, 0
  91,   151667,     -5,    -28,    -19,      3,  -1868,    647,  -2519, 0, 0, 0, 0
  92,   153333,     -9,    -50,    -37,      3,  -1551,   1257,  -2789, 0, 0, 0, 0
  93,   155000,     -9,    -57,    -45,      3,   -909,   1580,  -2454, 0, 0, 0, 0
  94,   156667,     -6,    -49,    -38,      4,     11,   1483,  -1424, 0, 0, 0, 0
  95,   158333,      0,    -26,    -20,      4,    940,    999,    -16, 0, 0, 0, 0
  96,   160000,      5,      3,      2,      5,   1581,    255,   1356, 0, 0, 0, 0
  97,   161667,     10,     29,     24,      4,   1869,   -553,   2434, 0, 0, 0, 0
  98,   163333,     14,     55,     44,      4,   1603,  -1171,   2763, 0, 0, 0, 0
  99,   165000,     15,     63,     54,      5,    978,  -1537,   2488, 0, 0, 0, 0
 100,   166667,     12,     57,     49,      3,     78,  -1487,   1524, 0, 0, 0, 0
 101,   168333,      9,     36,     31,      3,   -869,  -1039,    129, 0, 0, 0, 0
 102,   170000,      3,      9,      9,      3,  -1530,   -306,  -1251, 0, 0, 0, 0
 103,   171667,     -1,    -18,    -15,      2,  -1843,    491,  -2344, 0, 0, 0, 0
 104,   173333,     -4,    -42,    -35,      3,  -1614,   1132,  -2732, 0, 0, 0, 0
 105,   175000,     -5,    -54,    -45,      3,  -1021,   1498,  -2489, 0, 0, 0, 0
 106,   176667,     -4,    -49,    -43,      3,   -145,   1494,  -1589, 0, 0, 0, 0
 107,   178333,      0,    -30,    -26,      5,    817,   1066,   -207, 0, 0, 0, 0
 108,   180000,      3,     -5,     -2,      4,   1503,    372,   1162, 0, 0, 0, 0
 109,   181667,      6,     21,     20,      4,   1831,   -431,   2280, 0, 0, 0, 0
 110,   183333,      9,     46,     41,      5,   1658,  -1067,   2719, 0, 0, 0, 0
 111,   185000,     11,     59,     53,      5,   1070,  -1458,   2506, 0, 0, 0, 0
 112,   186667,      9,     56,     52,      4,    227,  -1485,   1673, 0, 0, 0, 0
 113,   188333,      7,     39,     36,      4,   -772,  -1116,    302, 0, 0, 0, 0
 114,   190000,      5,     14,     13,      3,  -1481,   -462,  -1046, 0, 0, 0, 0
 115,   191667,      1,    -10,     -7,      3,  -1802,    391,  -2205, 0, 0, 0, 0
 116,   193333,     -1,    -36,    -32,      2,  -1679,   1025,  -2694, 0, 0, 0, 0
 117,   195000,     -1,    -50,    -45,      2,  -1120,   1436,  -2528, 0, 0, 0, 0
 118,   196667,     -1,    -49,    -45,      3,   -313,   1490,  -1759, 0, 0, 0, 0
 119,   198333,      1,    -35,    -31,      3,    730,   1208,   -425, 0, 0, 0, 0
