54,2650,61411,4663,32227,62317,5728,30256,2577,58895,36827,63998,8563,25742,33222,0,0,0
55,2700,61657,4931,31713,62536,6022,29744,2381,58581,37337,64150,8912,25241,39139,0,0,0
56,2750,61897,5206,31198,62747,6323,29231,2192,58261,37846,64294,9268,24741,34132,0,0,0
57,2800,62129,5488,30684,62951,6630,28720,2010,57935,38354,64431,9630,24243,34587,0,0,0
58,2850,62354,5776,30171,63148,6944,28210,1837,57602,38861,64559,9997,23747,35498,0,0,0
59,2900,62571,6071,29658,63337,7264,27701,1671,57263,39366,64680,10370,23253,41869,0,0,0
60,2950,62781,6373,29146,63519,7590,27193,1512,56918,39869,64793,10748,22761,34587,0,0,0
61,3000,62984,6681,28635,63693,7923,26686,1361,56567,40371,64898,11132,22273,30036,0,0,0
62,3050,63180,6996,28125,63859,8261,26181,1218,56211,40870,64995,11521,21786,34587,0,0,0
63,3100,63367,7317,27616,64018,8606,25678,1083,55848,41368,65084,11916,21303,37318,0,0,0
64,3150,63548,7645,27109,64169,8957,25176,956,55480,41864,65165,12315,20822,36408,0,0,0
65,3200,63720,7978,26602,64312,9313,24677,836,55106,42357,65238,12720,20344,30947,0,0,0
66,3250,63886,8318,26098,64447,9675,24179,724,54727,42848,65303,13130,19869,38228,0,0,0
67,3300,64043,8664,25594,64575,10044,23683,621,54342,43337,65361,13544,19398,28216,0,0,0
68,3350,64193,9015,25093,64695,10417,23190,525,53952,43822,65410,13963,18930,35498,0,0,0
69,3400,64335,9373,24594,64807,10796,22699,437,53557,44306,65451,14387,18465,42779,0,0,0
70,3450,64469,9736,24096,64911,11181,22210,357,53157,44786,65484,14815,18003,31857,0,0,0
71,3500,64595,10105,23601,65007,11571,21724,285,52751,45263,65508,15248,17546,28216,0,0,0
72,3550,64713,10480,23108,65095,11966,21241,221,52341,45738,65525,15685,17092,30036,0,0,0
73,3600,64824,10860,22617,65175,12366,20761,165,51926,46209,65534,16126,16642,26396,0,0,0
74,3650,64927,11245,22129,65247,12771,20283,118,51506,46676,65535,16572,16196,30036,0,0,0
75,3700,65021,11636,21644,65311,13182,19809,78,51082,47141,65527,17021,15754,33677,0,0,0
76,3750,65108,12032,21161,65367,13597,19338,46,50653,47601,65512,17474,15316,30036,0,0,0
77,3800,65187,12433,20681,65415,14016,18870,23,50219,48059,65488,17931,14882,31857,0,0,0
78,3850,65258,12839,20204,65455,14441,18406,7,49781,48512,65456,18392,14453,39139,0,0,0
79,3900,65321,13250,19730,65487,14870,17945,0,49339,48961,65416,18856,14029,40959,0,0,0
80,3950,65375,13666,19260,65511,15303,17488,0,48893,49407,65369,19324,13609,37318,0,0,0
81,4000,65422,14087,18793,65527,15741,17034,9,48443,49848,65313,19795,13194,37318,0,0,0
82,4050,65461,14512,18329,65535,16183,16585,26,47990,50285,65249,20269,12783,30036,0,0,0
83,4100,65491,14941,17868,65534,16629,16139,51,47532,50718,65177,20746,12378,33677,0,0,0
84,4150,65514,15375,17412,65526,17079,15698,83,47071,51146,65097,21227,11977,35498,0,0,0
85,4200,65528,15814,16959,65509,17532,15260,124,46606,51570,65009,21710,11582,35498,0,0,0
86,4250,65535,16256,16510,65484,17990,14827,174,46138,51990,64913,22195,11192,30036,0,0,0
87,4300,65533,16703,16065,65452,18451,14399,231,45666,52404,64810,22684,10807,39139,0,0,0
88,4350,65523,17154,15625,65411,18916,13975,296,45192,52814,64698,23175,10428,42779,0,0,0
