        76,      3750, 34980, 30554, 32494, 24727, 36443, 34660, 34993, 30821, 32498, 27227, 37579, 36893
        77,      3800, 35025, 30544, 32459, 24713, 36463, 34666, 35038, 30817, 32457, 27230, 37566, 36890
        78,      3850, 35070, 30545, 32413, 24699, 36483, 34672, 35083, 30816, 32413, 27233, 37553, 36885
        79,      3900, 35115, 30546, 32367, 24685, 36503, 34679, 35128, 30814, 32370, 27236, 37540, 36881
        80,      3950, 35159, 30539, 32329, 24670, 36523, 34686, 35172, 30815, 32325, 27238, 37528, 36876
        81,      4000, 35204, 30546, 32278, 24655, 36542, 34694, 35216, 30816, 32279, 27241, 37515, 36871
        82,      4050, 35248, 30548, 32232, 24640, 36562, 34703, 35260, 30819, 32232, 27244, 37503, 36865
        83,      4100, 35291, 30545, 32191, 24625, 36581, 34712, 35304, 30822, 32185, 27247, 37490, 36859
        84,      4150, 35335, 30559, 32133, 24609, 36600, 34722, 35348, 30828, 32136, 27250, 37478, 36853
        85,      4200, 35378, 30556, 32093, 24594, 36619, 34733, 35391, 30834, 32088, 27253, 37466, 36847
        86,      4250, 35421, 30566, 32040, 24578, 36638, 34744, 35433, 30841, 32037, 27257, 37455, 36840
        87,      4300, 35463, 30578, 31986, 24561, 36657, 34756, 35476, 30850, 31986, 27260, 37443, 36832
        88,      4350, 35505, 30579, 31942, 24545, 36676, 34768, 35518, 30859, 31935, 27263, 37432, 36825
        89,      4400, 35547, 30595, 31885, 24528, 36694, 34782, 35559, 30870, 31882, 27266, 37420, 36816
        90,      4450, 35588, 30606, 31832, 24511, 36712, 34796, 35600, 30883, 31829, 27270, 37409, 36808
        91,      4500, 35628, 30614, 31783, 24494, 36730, 34810, 35640, 30896, 31776, 27273, 37399, 36799
        92,      4550, 35668, 30634, 31723, 24477, 36747, 34826, 35680, 30911, 31721, 27276, 37388, 36790
        93,      4600, 35708, 30646, 31671, 24460, 36765, 34842, 35720, 30927, 31666, 27280, 37377, 36780
        94,      4650, 35747, 30660, 31618, 24442, 36782, 34859, 35758, 30944, 31610, 27283, 37368, 36770
        95,      4700, 35785, 30685, 31554, 24424, 36798, 34877, 35796, 30963, 31553, 27286, 37358, 36760
        96,      4750, 35823, 30696, 31505, 24406, 36815, 34895, 35834, 30982, 31496, 27290, 37348, 36749
        97,      4800, 35860, 30720, 31444, 24388, 36831, 34914, 35871, 31004, 31437, 27293, 37339, 36738
        98,      4850, 35896, 30743, 31383, 24370, 36846, 34934, 35907, 31026, 31379, 27297, 37330, 36726
        99,      4900, 35932, 30759, 31331, 24351, 36862, 34955, 35943, 31050, 31320, 27300, 37321, 36714
       100,      4950, 35967, 30790, 31265, 24332, 36877, 34976, 35977, 31074, 31261, 27304, 37313, 36702
       101,      5000, 36001, 30812, 31208, 24314, 36891, 34999, 36011, 31101, 31200, 27307, 37305, 36689
       102,      5050, 36034, 30836, 31150, 24295, 36906, 35022, 36044, 31127, 31140, 27311, 37297, 36676
       103,      5100, 36067, 30869, 31083, 24275, 36919, 35046, 36077, 31157, 31078, 27315, 37289, 36662
       104,      5150, 36099, 30893, 31027, 24256, 36933, 35070, 36108, 31186, 31017, 27318, 37282, 36648
