        73,      3600, 34945, 30944, 32354, 29281, 33843, 36376, 34870, 30848, 32600, 30113, 34840, 38680
        74,      3650, 34988, 30942, 32313, 29282, 33858, 36358, 34915, 30842, 32561, 30113, 34829, 38707
        75,      3700, 35031, 30938, 32274, 29284, 33873, 36339, 34960, 30836, 32521, 30112, 34818, 38735
        76,      3750, 35073, 30945, 32224, 29286, 33889, 36320, 35005, 30834, 32478, 30112, 34807, 38762
        77,      3800, 35115, 30942, 32185, 29287, 33906, 36301, 35050, 30830, 32437, 30112, 34796, 38790
        78,      3850, 35157, 30948, 32138, 29289, 33924, 36281, 35095, 30829, 32393, 30112, 34784, 38817
        79,      3900, 35199, 30954, 32090, 29290, 33942, 36261, 35140, 30829, 32349, 30112, 34772, 38845
        80,      3950, 35241, 30955, 32046, 29292, 33960, 36241, 35184, 30829, 32305, 30112, 34760, 38873
        81,      4000, 35281, 30966, 31995, 29293, 33980, 36221, 35228, 30832, 32258, 30113, 34748, 38901
        82,      4050, 35322, 30973, 31947, 29295, 34000, 36201, 35272, 30835, 32211, 30113, 34735, 38929
        83,      4100, 35362, 30979, 31901, 29296, 34021, 36181, 35315, 30838, 32164, 30113, 34723, 38956
        84,      4150, 35401, 30996, 31845, 29297, 34043, 36160, 35358, 30846, 32113, 30114, 34709, 38984
        85,      4200, 35441, 31001, 31800, 29299, 34065, 36139, 35401, 30850, 32067, 30114, 34696, 39012
        86,      4250, 35480, 31017, 31745, 29300, 34089, 36118, 35444, 30860, 32014, 30115, 34683, 39039
        87,      4300, 35518, 31032, 31691, 29301, 34112, 36097, 35485, 30868, 31964, 30115, 34669, 39067
        88,      4350, 35556, 31043, 31643, 29302, 34137, 36076, 35527, 30878, 31912, 30116, 34655, 39094
        89,      4400, 35592, 31065, 31584, 29303, 34162, 36054, 35568, 30890, 31860, 30117, 34641, 39121
        90,      4450, 35629, 31079, 31533, 29304, 34188, 36033, 35609, 30903, 31806, 30118, 34626, 39148
        91,      4500, 35665, 31098, 31478, 29305, 34215, 36011, 35649, 30916, 31753, 30119, 34612, 39175
        92,      4550, 35700, 31121, 31419, 29306, 34243, 35989, 35688, 30933, 31696, 30120, 34597, 39202
        93,      4600, 35735, 31137, 31368, 29307, 34271, 35967, 35727, 30947, 31643, 30121, 34582, 39228
        94,      4650, 35769, 31164, 31307, 29307, 34300, 35945, 35766, 30967, 31586, 30123, 34567, 39254
        95,      4700, 35802, 31187, 31250, 29308, 34330, 35924, 35803, 30986, 31529, 30124, 34551, 39281
        96,      4750, 35835, 31209, 31196, 29309, 34360, 35901, 35840, 31005, 31473, 30126, 34536, 39306
        97,      4800, 35866, 31240, 31133, 29309, 34391, 35879, 35877, 31028, 31413, 30127, 34520, 39332
        98,      4850, 35897, 31264, 31078, 29310, 34423, 35857, 35913, 31049, 31356, 30129, 34504, 39358
        99,      4900, 35927, 31294, 31018, 29310, 34456, 35835, 35948, 31075, 31296, 30131, 34488, 39382
       100,      4950, 35956, 31326, 30955, 29310, 34489, 35813, 35982, 31100, 31236, 30133, 34471, 39407
       101,      5000, 35985, 31353, 30900, 29310, 34523, 35790, 36015, 31126, 31177, 30135, 34454, 39432
